label,person_id,identity
0,person_000,Andy Roddick
1,person_001,Angelina Jolie
2,person_002,Anna Kournikova
3,person_003,Ariel Sharon
4,person_004,Atal Bihari Vajpayee
5,person_005,Carlos Menem
6,person_006,Carlos Moya
7,person_007,Charles Moose
8,person_008,Dominique de Villepin
9,person_009,Gerhard Schroeder
10,person_010,Gordon Brown
11,person_011,Gray Davis
12,person_012,Harrison Ford
13,person_013,Hillary Clinton
14,person_014,Howard Dean
15,person_015,Igor Ivanov
16,person_016,Jack Straw
17,person_017,Jackie Chan
18,person_018,Jacques Chirac
19,person_019,Jean Chretien
20,person_020,Jennifer Capriati
21,person_021,Jennifer Lopez
22,person_022,Jiang Zemin
23,person_023,John Ashcroft
24,person_024,John Snow
25,person_025,Juan Carlos Ferrero
26,person_026,Julie Gerberding
27,person_027,Keanu Reeves
28,person_028,Lleyton Hewitt
29,person_029,Lucio Gutierrez
30,person_030,Luiz Inacio Lula da Silva
31,person_031,Megawati Sukarnoputri
32,person_032,Meryl Streep
33,person_033,Michael Bloomberg
34,person_034,Nancy Pelosi
35,person_035,Naomi Watts
36,person_036,Nicole Kidman
37,person_037,Paul Bremer
38,person_038,Pete Sampras
39,person_039,Pierce Brosnan
40,person_040,Queen Elizabeth II
41,person_041,Ricardo Lagos
42,person_042,Roger Federer
43,person_043,Rudolph Giuliani
44,person_044,Serena Williams
45,person_045,Silvio Berlusconi
46,person_046,Spencer Abraham
47,person_047,Tom Daschle
48,person_048,Tony Blair
49,person_049,Venus Williams
